,Target lang,Transfer lang,Accuracy,Rank,Accuracy level,Word overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHICAL,Unnamed: 18,GEOGRAPHIC
75,nor,slv,61.87,15,15,0.137452274,9290,3450,2.692753623188406,0.237767323,0.206890882,0.0222726436325631,0.8718,0.4285,0.5091,0.0612,0.5636,0.078,0.4025,0.0641
76,nor,slk,58.74,19,11,0.1225086319999999,9543,3450,2.766086956521739,0.261917468,0.206890882,0.0707395732523525,0.8718,0.3124,0.37,0.1941,0.5733,0.0696,0.3598,0.0573
77,nor,ron,63.33,11,19,0.13332359,8795,3450,2.5492753623188404,0.167303215,0.206890882,0.0366131516784058,0.8989,0.3338,0.3682,0.0494,0.5636,0.0888,0.399,0.0729
78,nor,hrv,62.98,13,17,0.157657246,7832,3450,2.270144927536232,0.216688845,0.206890882,0.0022427914307449,0.8919,0.3736,0.4386,0.1384,0.7044,0.0853,0.0683,0.0701
79,nor,ara,37.32,27,3,0.084491861,6984,3450,2.0243478260869567,0.1033986809999999,0.206890882,0.2502260639420608,1.0,0.5536,0.5952,0.3977,0.5447,1.0,0.3998,0.1751
80,nor,lav,59.73,18,12,0.119457791,6475,3450,1.8768115942028984,0.268650981,0.206890882,0.0891113996068163,0.8337,0.4439,0.4882,0.2863,0.5122,0.0451,0.2494,0.0373
81,nor,heb,39.59,26,4,0.109958165,5725,3450,1.6594202898550725,0.117344567,0.206890882,0.187332330039128,1.0,0.3946,0.4927,0.8025,0.5636,0.1853,0.3032,0.1494
82,nor,ukr,64.3,8,22,0.117758819,5090,3450,1.4753623188405798,0.31926283,0.206890882,0.2950075405895644,0.8718,0.4493,0.5184,0.0227,0.7041,0.0803,0.2833,0.066
83,nor,ind,52.98,22,8,0.127477667,5036,3450,1.4597101449275365,0.197096308,0.206890882,0.0022412401887895,1.0,0.443,0.4894,0.5268,0.5636,0.5622,0.1639,0.3987
84,nor,dan,68.94,3,27,0.528069566,4947,3450,1.4339130434782608,0.203165045,0.206890882,0.0003243134799531,0.4788,0.234,0.3871,0.2569,0.488,0.0286,0.4189,0.0236
85,nor,swe,72.67,1,29,0.34269899,4807,3450,1.393333333333333,0.193727962,0.206890882,0.0040478254952898,0.4788,0.2634,0.3944,0.0045,0.6539,0.0206,0.2034,0.017
86,nor,zho,39.73,25,5,0.103856483,4497,3450,1.3034782608695652,0.178585916,0.206890882,0.0187172729219721,1.0,0.5075,0.5649,0.8467,0.5637,1.0,0.3556,0.2709
87,spa,ces,58.28,17,13,0.18863457,114304,2147,53.23893805309734,0.091965586,0.1929523189999999,0.2739230888614469,0.9248,0.4953,0.5196,0.4714,0.4991,0.0821,0.2415,0.0675
88,spa,rus,63.84,10,20,0.128603928,55398,2147,25.802515137401024,0.123916395,0.1929523189999999,0.1280118809368482,0.9078,0.4163,0.4644,0.6082,0.4991,0.2742,0.3906,0.2163
89,spa,nor,64.74,8,22,0.221536128,34170,2147,15.91523055426176,0.106159434,0.1929523189999999,0.2023337096683337,0.9176,0.4054,0.461,0.4396,0.7943,0.1153,0.4517,0.0942
90,spa,kor,21.31,29,1,0.114226906,30426,2147,14.17140195621798,0.294432976,0.1929523189999999,0.2766091457636196,1.0,0.6247,0.6143,0.6082,0.6657,0.4956,0.3925,0.3622
91,spa,est,42.41,25,5,0.138585821,23460,2147,10.926874708896134,0.221928097,0.1929523189999999,0.0225512285370057,0.9638,0.4531,0.4736,0.17,0.4713,0.1347,0.5111,0.1129
92,spa,pol,45.23,24,6,0.1173220669999999,22646,2147,10.547741034000932,0.223329008,0.1929523189999999,0.0247845401056441,0.9176,0.4668,0.4929,0.4353,0.4991,0.0984,0.4826,0.0807
93,spa,nld,65.33,7,23,0.239782101,19452,2147,9.060083837913368,0.133302703,0.1929523189999999,0.0955686165871949,0.9386,0.4862,0.5276,0.4606,0.6652,0.0683,0.5082,0.0563
94,spa,por,74.58,2,28,0.4665026229999999,19763,2147,9.204937121564974,0.095460698,0.1929523189999999,0.2552904553526889,0.1864,0.3611,0.4187,0.471,0.4991,0.0156,0.3858,0.0129
95,spa,lat,45.37,23,7,0.083058638,17140,2147,7.983232417326502,0.158874645,0.1929523189999999,0.0311917601681306,0.5533,0.4563,0.4919,0.5352,0.499,0.0573,0.3654,0.0472
96,spa,fra,74.37,3,27,0.359704103,16032,2147,7.467163483931067,0.118520741,0.1929523189999999,0.1488039459301655,0.4601,0.4154,0.5021,0.4984,0.7311,0.0438,0.0086,0.0362
97,spa,deu,61.27,13,17,0.156630608,14613,2147,6.806241266884024,0.187631727,0.1929523189999999,0.0007603611330925,0.9248,0.3991,0.4435,0.479,0.7313,0.0703,0.15,0.0579
98,spa,hin,31.24,28,2,0.070724422,14963,2147,6.969259431765254,0.060393443,0.1929523189999999,0.4719735064700861,0.9304,0.5484,0.5685,0.4801,0.6658,0.3634,0.2405,0.279
99,spa,cat,82.77,1,29,0.50062677,14832,2147,6.9082440614811365,0.074013319,0.1929523189999999,0.3799693452718723,0.2677,0.3939,0.465,0.4918,0.6652,0.0205,0.394,0.017
100,spa,ita,73.88,4,26,0.287277342,13685,2147,6.374010246856078,0.102554534,0.1929523189999999,0.2194904219093977,0.5295,0.3807,0.4359,0.4722,0.4992,0.0588,0.1288,0.0485
101,spa,eng,66.83,5,25,0.170682638,14545,2147,6.774569166278528,0.0961556319999999,0.1929523189999999,0.251663934146114,0.9386,0.4351,0.479,0.6082,0.6403,0.0698,0.1268,0.0575
102,spa,fin,35.25,27,3,0.139158426,13581,2147,6.3255705635770845,0.302519355,0.1929523189999999,0.3224480995143557,1.0,0.3143,0.366,0.6082,0.6655,0.1597,0.5168,0.1295
103,spa,bul,63.79,11,19,0.12479688,10022,2147,4.667908709827667,0.201446082,0.1929523189999999,0.0019377612749689,0.9248,0.2948,0.2985,0.409,0.4991,0.1089,0.3049,0.0891
104,spa,slv,60.46,15,15,0.143940449,9290,2147,4.326967862133209,0.237767323,0.1929523189999999,0.0539444629786315,0.9176,0.4395,0.5115,0.4682,0.6656,0.0717,0.127,0.059
105,spa,slk,54.7,20,10,0.123404058,9543,2147,4.444806707033069,0.261917468,0.1929523189999999,0.1277495422524947,0.9176,0.3608,0.3551,0.2462,0.4802,0.0904,0.1483,0.0742
106,spa,ron,65.47,6,24,0.294767631,8795,2147,4.096413600372613,0.167303215,0.1929523189999999,0.0176703190873504,0.5804,0.2941,0.3247,0.4207,0.6656,0.1069,0.1304,0.0875
107,spa,hrv,60.74,14,16,0.170233839,7832,2147,3.647880763856544,0.216688845,0.1929523189999999,0.0151333232819818,0.9304,0.4291,0.4214,0.3981,0.4997,0.0776,0.4806,0.0638
108,spa,ara,46.23,22,8,0.0701672929999999,6984,2147,3.2529110386585933,0.1033986809999999,0.1929523189999999,0.2154102979133033,1.0,0.5106,0.5418,0.1578,0.4256,1.0,0.1295,0.1725
109,spa,lav,52.97,21,9,0.135769225,6475,2147,3.015836050302748,0.268650981,0.1929523189999999,0.1539133891909916,0.8934,0.4395,0.4592,0.6082,0.4718,0.129,0.5212,0.1053
110,spa,heb,56.16,19,11,0.121113639,5725,2147,2.6665114112715416,0.117344567,0.1929523189999999,0.1535439278593294,1.0,0.2669,0.4008,0.4707,0.6656,0.1696,0.3292,0.1372
111,spa,ukr,61.35,12,18,0.11170435,5090,2147,2.370749883558453,0.31926283,0.1929523189999999,0.4285277782267523,0.9176,0.4136,0.4546,0.4304,0.4991,0.1095,0.3312,0.0896
112,spa,ind,56.53,18,12,0.138384636,5036,2147,2.3455985095482066,0.197096308,0.1929523189999999,0.0004612508535431,1.0,0.4443,0.4815,0.4885,0.6657,0.6143,0.5122,0.4247
113,spa,dan,64.12,9,21,0.161505486,4947,2147,2.304145319049837,0.203165045,0.1929523189999999,0.0028014530954082,0.9248,0.453,0.5007,0.3023,0.4952,0.089,0.0978,0.073
114,spa,swe,60.41,16,14,0.116176857,4807,2147,2.2389380530973453,0.193727962,0.1929523189999999,1.6159344876055972e-05,0.9248,0.4612,0.5221,0.4415,0.7309,0.1252,0.3946,0.1022
115,spa,zho,35.92,26,4,0.1058699719999999,4497,2147,2.094550535631113,0.178585916,0.1929523189999999,0.0055436535949045,1.0,0.5313,0.5939,0.4977,0.6658,1.0,0.4762,0.3363
116,kor,ces,14.61,16,14,0.125440152,114304,3276,34.89133089133089,0.091965586,0.465899158,0.6441767784799476,1.0,0.6739,0.6698,0.2189,0.4993,0.4141,0.4388,0.3125
117,kor,rus,15.6,9,21,0.117398796,55398,3276,16.91025641025641,0.123916395,0.465899158,0.5387962724482416,1.0,0.6144,0.6388,0.0,0.4994,0.2272,0.4218,0.1814
118,kor,nor,15.32,11,19,0.117373823,34170,3276,10.43040293040293,0.106159434,0.465899158,0.5962013335595927,1.0,0.5425,0.5887,0.2863,0.7944,0.3892,0.4796,0.2963
119,kor,spa,12.19,24,6,0.124441226,31546,3276,9.629426129426127,0.0791871859999999,0.465899158,0.6889558364492705,1.0,0.6247,0.6143,0.6082,0.6657,0.4956,0.3925,0.3622
120,kor,est,16.17,7,23,0.1167744669999999,23460,3276,7.1611721611721615,0.221928097,0.465899158,0.2742159918986014,0.9896,0.6679,0.6306,0.4383,0.5509,0.3622,0.4041,0.2754
121,kor,pol,14.86,15,15,0.103438803,22646,3276,6.912698412698413,0.223329008,0.465899158,0.2710758713127536,1.0,0.5729,0.6013,0.2966,0.4993,0.3976,0.2833,0.3018
122,kor,nld,14.58,17,13,0.11924681,19452,3276,5.937728937728938,0.133302703,0.465899158,0.509625770154501,1.0,0.6271,0.6555,0.2402,0.0174,0.4315,0.3405,0.3235
123,kor,por,13.76,21,9,0.123916789,19763,3276,6.032661782661783,0.095460698,0.465899158,0.6321909711218328,1.0,0.6603,0.7008,0.2196,0.4995,0.4962,0.4298,0.3625
124,kor,lat,13.92,20,10,0.000249732,17140,3276,5.231990231990232,0.158874645,0.465899158,0.434272422356117,1.0,0.5654,0.6026,0.1085,0.4993,0.4515,0.1005,0.3358
125,kor,fra,12.06,26,4,0.121019904,16032,3276,4.893772893772894,0.118520741,0.465899158,0.5559321781923584,1.0,0.7048,0.7102,0.8305,0.3914,0.4552,0.3889,0.3381
126,kor,deu,17.39,3,27,0.120870065,14613,3276,4.460622710622711,0.187631727,0.465899158,0.3567310449798401,1.0,0.4334,0.4587,0.7957,0.3914,0.4258,0.4456,0.3199
127,kor,hin,22.94,1,29,0.062133207,14963,3276,4.567460317460317,0.060393443,0.465899158,0.7575479155122635,1.0,0.531,0.5589,0.7976,0.6659,0.2488,0.4531,0.1976
128,kor,cat,12.69,23,7,0.1216442319999999,14832,3276,4.527472527472527,0.074013319,0.465899158,0.7075144098004392,1.0,0.6071,0.6624,0.181,0.6654,0.4773,0.441,0.3515
129,kor,ita,12.19,24,6,0.119596434,13685,3276,4.177350427350428,0.102554534,0.465899158,0.6082100981557959,1.0,0.6318,0.6851,0.2172,0.4995,0.4465,0.4628,0.3328
130,kor,eng,16.31,5,25,0.1219189369999999,14545,3276,4.43986568986569,0.0961556319999999,0.465899158,0.6298212446473307,1.0,0.6233,0.677,0.0,0.8269,0.4405,0.4285,0.3292
131,kor,fin,17.88,2,28,0.1170491719999999,13581,3276,4.145604395604396,0.302519355,0.465899158,0.1229738825851344,1.0,0.6562,0.6054,0.0,0.0067,0.3414,0.3862,0.2641
132,kor,bul,14.06,18,12,0.116025273,10022,3276,3.059218559218559,0.201446082,0.465899158,0.3221909925003948,1.0,0.5371,0.523,0.3744,0.4992,0.4068,0.4232,0.3077
133,kor,slv,15.27,12,18,0.1129286019999999,9290,3276,2.835775335775336,0.237767323,0.465899158,0.2397661868239756,1.0,0.6511,0.6586,0.225,0.6658,0.4283,0.4128,0.3214
134,kor,slk,14.9,14,16,0.1026396619999999,9543,3276,2.913003663003663,0.261917468,0.465899158,0.1916895863003541,1.0,0.4589,0.4599,0.4134,0.5105,0.4085,0.4717,0.3089
135,kor,ron,13.98,19,11,0.118647454,8795,3276,2.6846764346764345,0.167303215,0.465899158,0.4107560362133504,1.0,0.6077,0.6035,0.3356,0.6657,0.3995,0.4157,0.3029
136,kor,hrv,15.65,8,22,0.119321729,7832,3276,2.3907203907203907,0.216688845,0.465899158,0.2861199695521397,1.0,0.5512,0.5396,0.4247,0.4996,0.4261,0.4485,0.3201
137,kor,ara,6.64,29,1,0.0994680719999999,6984,3276,2.131868131868132,0.1033986809999999,0.465899158,0.6053873106909048,1.0,0.8075,0.793,0.4887,0.5612,1.0,0.4151,0.2926
